log file started at 20150309_1301171425906077.539273	frame=0
1425906079.183140	frame=1
1425906079.226135	frame=2
1425906079.268379	3
1425906079.268379	frame=3
1425906079.309936	6
1425906079.309936	frame=4
1425906079.336587	3
1425906079.336587	frame=5
1425906079.364959	4
1425906079.364959	frame=6
1425906079.392715	4
1425906079.392715	frame=7
1425906079.420772	4
1425906079.420772	frame=8
1425906079.448860	6
1425906079.448860	frame=9
1425906079.477104	5
1425906079.477104	frame=10
1425906079.505125	5
1425906079.505125	frame=11
1425906079.533701	5
1425906079.533701	frame=12
1425906079.561602	5
1425906079.561602	frame=13
1425906079.592928	4
1425906079.592928	frame=14
1425906079.626526	7
1425906079.626526	frame=15
1425906079.660054	7
1425906079.660054	frame=16
1425906079.693378	6
1425906079.693378	frame=17
1425906079.726646	5
1425906079.726646	frame=18
1425906079.760155	5
1425906079.760155	frame=19
1425906079.793385	5
1425906079.793385	frame=20
1425906079.826811	6
1425906079.826811	frame=21
1425906079.860607	6
1425906079.860607	frame=22
1425906079.895203	5
1425906079.895203	frame=23
1425906079.926756	3
1425906079.926756	frame=24
1425906079.960378	frame=25
1425906079.993501	-2
1425906079.993501	frame=26
1425906080.027063	-7
1425906080.027063	frame=27
1425906080.060370	-8
1425906080.060370	frame=28
1425906080.093851	-9
1425906080.093851	frame=29
1425906080.127179	-8
1425906080.127179	frame=30
1425906080.160452	-9
1425906080.160452	frame=31
1425906080.193720	-9
1425906080.193720	frame=32
1425906080.227369	-10
1425906080.227369	frame=33
1425906080.260548	-9
1425906080.260548	frame=34
1425906080.293993	-10
1425906080.293993	frame=35
1425906080.327343	-9
1425906080.327343	frame=36
1425906080.360392	-4
1425906080.360392	frame=37
1425906080.393542	-3
1425906080.393542	frame=38
1425906080.426959	-1
1425906080.426959	frame=39
1425906080.460502	-2
1425906080.460502	frame=40
1425906080.493862	-2
1425906080.493862	frame=41
1425906080.527317	-2
1425906080.527317	frame=42
1425906080.560512	frame=43
1425906080.593783	frame=44
1425906080.627131	frame=45
1425906080.660569	frame=46
1425906080.694150	frame=47
1425906080.727360	frame=48
1425906080.760802	frame=49
1425906080.793927	3
1425906080.793927	frame=50
1425906080.827623	7
1425906080.827623	frame=51
1425906080.861248	10
1425906080.861248	frame=52
1425906080.896387	10
1425906080.896387	frame=53
1425906080.927716	9
1425906080.927716	frame=54
1425906080.961331	11
1425906080.961331	frame=55
1425906080.994348	10
1425906080.994348	frame=56
1425906081.027959	11
1425906081.027959	frame=57
1425906081.061099	12
1425906081.061099	frame=58
1425906081.094671	11
1425906081.094671	frame=59
1425906081.127902	13
1425906081.127902	frame=60
1425906081.161128	11
1425906081.161128	frame=61
1425906081.194448	7
1425906081.194448	frame=62
1425906081.228404	2
1425906081.228404	frame=63
1425906081.260826	-2
1425906081.260826	frame=64
1425906081.294467	-10
1425906081.294467	frame=65
1425906081.327832	-13
1425906081.327832	frame=66
1425906081.361424	-13
1425906081.361424	frame=67
1425906081.394819	-15
1425906081.394819	frame=68
1425906081.428402	-15
1425906081.428402	frame=69
1425906081.461582	-17
1425906081.461582	frame=70
1425906081.495420	-14
1425906081.495420	frame=71
1425906081.527965	-9
1425906081.527965	frame=72
1425906081.561447	-3
1425906081.561447	frame=73
1425906081.594832	frame=74
1425906081.628369	frame=75
1425906081.661279	frame=76
1425906081.695005	frame=77
1425906081.728220	frame=78
1425906081.761437	frame=79
1425906081.794876	frame=80
1425906081.828543	frame=81
1425906081.861731	frame=82
1425906081.896967	frame=83
1425906081.928275	frame=84
1425906081.961903	frame=85
1425906081.995002	frame=86
1425906082.028800	frame=87
1425906082.061631	frame=88
1425906082.095033	frame=89
1425906082.128565	frame=90
1425906082.161923	frame=91
1425906082.195993	frame=92
1425906082.228623	frame=93
1425906082.261849	frame=94
1425906082.295534	frame=95
1425906082.328790	frame=96
1425906082.362066	frame=97
1425906082.395431	frame=98
1425906082.429166	frame=99
1425906082.461972	frame=100
1425906082.495391	frame=101
1425906082.528838	frame=102
1425906082.568575	frame=103
1425906082.596421	frame=104
1425906082.629284	frame=105
1425906082.662275	frame=106
1425906082.695783	frame=107
1425906082.729057	frame=108
1425906082.762431	2
1425906082.762431	frame=109
1425906082.795889	11
1425906082.795889	frame=110
1425906082.829609	19
1425906082.829609	frame=111
1425906082.862966	27
1425906082.862966	frame=112
1425906082.898316	25
1425906082.898316	frame=113
1425906082.930100	28
1425906082.930100	frame=114
1425906082.964405	37
1425906082.964405	frame=115
1425906082.997211	41
1425906082.997211	frame=116
1425906083.030333	21
1425906083.030333	frame=117
1425906083.062914	-26
1425906083.062914	frame=118
1425906083.096955	-42
1425906083.096955	frame=119
1425906083.130247	-31
1425906083.130247	frame=120
1425906083.163526	33
1425906083.163526	frame=121
1425906083.197085	23
1425906083.197085	frame=122
1425906083.229614	14
1425906083.229614	frame=123
1425906083.262692	7
1425906083.262692	frame=124
1425906083.296199	frame=125
1425906083.329587	frame=126
1425906083.362895	frame=127
1425906083.396080	frame=128
1425906083.429491	frame=129
1425906083.462799	frame=130
1425906083.496157	frame=131
1425906083.532022	frame=132
1425906083.562772	frame=133
1425906083.596455	frame=134
1425906083.629687	frame=135
1425906083.662902	frame=136
1425906083.696302	frame=137
1425906083.729652	frame=138
1425906083.763076	13
1425906083.763076	frame=139
1425906083.797592	39
1425906083.797592	frame=140
1425906083.831115	-42
1425906083.831115	frame=141
1425906083.864335	-9
1425906083.864335	frame=142
1425906083.899535	41
1425906083.899535	frame=143
1425906083.931151	40
1425906083.931151	frame=144
1425906083.966470	-31
1425906083.966470	frame=145
1425906083.998902	-17
1425906083.998902	frame=146
1425906084.034246	-30
1425906084.034246	frame=147
1425906084.064327	-31
1425906084.064327	frame=148
1425906084.097677	-34
1425906084.097677	frame=149
1425906084.130645	19
1425906084.130645	frame=150
1425906084.163716	6
1425906084.163716	frame=151
1425906084.196968	frame=152
1425906084.230486	frame=153
1425906084.263627	frame=154
1425906084.297020	frame=155
1425906084.330484	frame=156
1425906084.363765	frame=157
1425906084.397108	frame=158
1425906084.430779	frame=159
1425906084.466218	frame=160
1425906084.497617	frame=161
1425906084.530452	frame=162
1425906084.563947	1
1425906084.563947	frame=163
1425906084.597288	frame=164
1425906084.630870	frame=165
1425906084.663838	frame=166
1425906084.697536	frame=167
1425906084.730808	frame=168
1425906084.764236	6
1425906084.764236	frame=169
1425906084.797728	19
1425906084.797728	frame=170
1425906084.831711	-4
1425906084.831711	frame=171
1425906084.864854	-33
1425906084.864854	frame=172
1425906084.901314	-28
1425906084.901314	frame=173
1425906084.932917	-11
1425906084.932917	frame=174
1425906084.965664	-17
1425906084.965664	frame=175
1425906084.999434	-36
1425906084.999434	frame=176
1425906085.031814	-37
1425906085.031814	frame=177
1425906085.065193	-42
1425906085.065193	frame=178
1425906085.098806	37
1425906085.098806	frame=179
1425906085.132014	21
1425906085.132014	frame=180
1425906085.164203	3
1425906085.164203	frame=181
1425906085.197780	-2
1425906085.197780	frame=182
1425906085.231293	-2
1425906085.231293	frame=183
1425906085.264297	frame=184
1425906085.297664	frame=185
1425906085.330918	frame=186
1425906085.364502	frame=187
1425906085.397647	frame=188
1425906085.431097	frame=189
1425906085.464533	frame=190
1425906085.498121	frame=191
1425906085.531299	1
1425906085.531299	frame=192
1425906085.565097	7
1425906085.565097	frame=193
1425906085.598431	19
1425906085.598431	frame=194
1425906085.632628	38
1425906085.632628	frame=195
1425906085.665690	-43
1425906085.665690	frame=196
1425906085.698930	-34
1425906085.698930	frame=197
1425906085.732071	-29
1425906085.732071	frame=198
1425906085.765591	-24
1425906085.765591	frame=199
1425906085.798276	-22
1425906085.798276	frame=200
1425906085.832166	-28
1425906085.832166	frame=201
1425906085.865699	-35
1425906085.865699	frame=202
1425906085.899414	42
1425906085.899414	frame=203
1425906085.932229	26
1425906085.932229	frame=204
1425906085.965703	8
1425906085.965703	frame=205
1425906085.998628	frame=206
1425906086.031717	frame=207
1425906086.064995	frame=208
1425906086.098735	frame=209
1425906086.131790	frame=210
1425906086.165436	frame=211
1425906086.198697	frame=212
1425906086.232001	frame=213
1425906086.265338	frame=214
1425906086.298862	frame=215
1425906086.331807	frame=216
1425906086.365327	frame=217
1425906086.398856	frame=218
1425906086.432132	frame=219
1425906086.465557	frame=220
1425906086.498841	frame=221
1425906086.532066	frame=222
1425906086.565721	frame=223
1425906086.598918	frame=224
1425906086.632193	frame=225
1425906086.665506	frame=226
1425906086.699007	frame=227
1425906086.732244	frame=228
1425906086.765824	frame=229
1425906086.799050	frame=230
1425906086.832396	frame=231
1425906086.865902	frame=232
